amount,location,time,risk,name
152,Kolkata,18,0,Aarush
485,Kolkata,13,0,Pari
910,Kolkata,15,0,Pari
320,Kolkata,17,0,Kiara
156,Kolkata,20,0,Aahana
121,Kolkata,13,0,Arnav
750,Kolkata,9,0,Riya
70,Kolkata,18,0,Yashvi
664,Kolkata,18,0,Riya
171,Kolkata,9,0,Anaya
516,Kolkata,10,0,Daksh
264,Kolkata,14,0,Myra
380,Kolkata,17,0,Dhruv
508,Kolkata,16,0,Myra
137,Kolkata,21,0,Rudra
422,Kolkata,13,0,Reyansh
149,Kolkata,9,0,Aarush
921,Kolkata,21,0,Advik
713,Kolkata,15,0,Rudra
180,Kolkata,13,0,Anika
711,Kolkata,14,0,Anika
358,Kolkata,21,0,Arnav
819,Kolkata,15,0,Avani
393,Kolkata,11,0,Ayaan
541,Kolkata,20,0,Hridhaan
463,Kolkata,18,0,Daksh
855,Kolkata,11,0,Anika
435,Kolkata,13,0,Vihaan
241,Kolkata,14,0,Aadya
326,Kolkata,17,0,Rudra
210,Kolkata,21,0,Hridhaan
509,Kolkata,20,0,Diya
363,Kolkata,13,0,Advik
71,Kolkata,9,0,Ayaan
302,Kolkata,12,0,Aadhya
797,Kolkata,13,0,Dhruv
906,Kolkata,20,0,Ananya
610,Kolkata,18,0,Anya
524,Kolkata,18,0,Myra
108,Kolkata,13,0,Veer
560,Kolkata,15,0,Vivaan
731,Kolkata,12,0,Aarush
525,Kolkata,9,0,Aadhya
749,Kolkata,13,0,Anya
832,Kolkata,15,0,Avani
239,Kolkata,18,0,Shaurya
736,Kolkata,18,0,Arjun
612,Kolkata,14,0,Hridhaan
925,Kolkata,13,0,Saanvi
616,Kolkata,12,0,Shaurya
293,Kolkata,10,0,Sai
881,Kolkata,12,0,Arnav
554,Kolkata,18,0,Arjun
180,Kolkata,18,0,Vihaan
534,Kolkata,11,0,Anaya
868,Kolkata,18,0,Vivaan
696,Kolkata,9,0,Siya
70,Kolkata,16,0,Ayaan
890,Kolkata,13,0,Ishan
216,Kolkata,21,0,Daksh
323,Kolkata,12,0,Pari
437,Kolkata,16,0,Ishaan
650,Kolkata,15,0,Dhruv
365,Kolkata,10,0,Saanvi
63,Kolkata,9,0,Saanvi
291,Kolkata,20,0,Rudra
826,Kolkata,19,0,Anvi
395,Kolkata,12,0,Siya
614,Kolkata,16,0,Saanvi
947,Kolkata,20,0,Ishan
389,Kolkata,10,0,Daksh
141,Kolkata,11,0,Arnav
416,Kolkata,20,0,Arjun
504,Kolkata,9,0,Shaurya
477,Kolkata,9,0,Reyansh
558,Kolkata,21,0,Anya
825,Kolkata,11,0,Dhruv
992,Kolkata,19,0,Ishaan
84,Kolkata,13,0,Rudra
255,Kolkata,20,0,Aadya
130,Kolkata,11,0,Ishan
981,Kolkata,9,0,Pari
611,Kolkata,9,0,Veer
921,Kolkata,16,0,Vivaan
437,Kolkata,18,0,Anya
51,Kolkata,19,0,Avani
439,Kolkata,20,0,Vivaan
615,Kolkata,21,0,Veer
155,Kolkata,21,0,Arjun
821,Kolkata,20,0,Diya
871,Kolkata,10,0,Riya
526,Kolkata,21,0,Vivaan
752,Kolkata,11,0,Anika
451,Kolkata,10,0,Veer
779,Kolkata,11,0,Pari
605,Kolkata,15,0,Veer
211,Kolkata,9,0,Avani
251,Kolkata,18,0,Myra
319,Kolkata,16,0,Diya
912,Kolkata,21,0,Avani
865,Kolkata,18,0,Reyansh
320,Kolkata,18,0,Kabir
505,Kolkata,18,0,Aarush
511,Kolkata,10,0,Aadya
776,Kolkata,11,0,Reyansh
301,Kolkata,17,0,Ishaan
751,Kolkata,15,0,Arjun
345,Kolkata,12,0,Vihaan
774,Kolkata,18,0,Aadya
769,Kolkata,13,0,Aarav
798,Kolkata,10,0,Aadhya
387,Kolkata,21,0,Daksh
928,Kolkata,19,0,Ishan
102,Kolkata,21,0,Avani
841,Kolkata,16,0,Pari
971,Kolkata,12,0,Dhruv
266,Kolkata,17,0,Kabir
813,Kolkata,13,0,Aadhya
237,Kolkata,21,0,Siya
429,Kolkata,17,0,Kabir
542,Kolkata,12,0,Ayaan
90,Kolkata,18,0,Ishaan
206,Kolkata,13,0,Krishna
64,Kolkata,17,0,Myra
862,Kolkata,16,0,Atharv
114,Kolkata,11,0,Atharv
906,Kolkata,9,0,Ishaan
888,Kolkata,11,0,Diya
570,Kolkata,12,0,Ishan
393,Kolkata,10,0,Shaurya
178,Kolkata,9,0,Aarav
697,Kolkata,15,0,Dhruv
521,Kolkata,16,0,Myra
112,Kolkata,15,0,Saanvi
188,Kolkata,13,0,Anaya
548,Kolkata,20,0,Aahana
642,Kolkata,9,0,Pari
441,Kolkata,15,0,Ishaan
724,Kolkata,21,0,Aarav
468,Kolkata,15,0,Ayaan
338,Kolkata,17,0,Daksh
428,Kolkata,11,0,Saanvi
822,Kolkata,17,0,Arjun
539,Kolkata,9,0,Anvi
280,Kolkata,9,0,Anaya
90,Kolkata,12,0,Anya
77,Kolkata,17,0,Sai
184,Kolkata,14,0,Saanvi
250,Kolkata,21,0,Saanvi
889,Kolkata,19,0,Anika
829,Kolkata,11,0,Veer
979,Kolkata,9,0,Aryan
82,Kolkata,12,0,Anika
97,Kolkata,20,0,Anaya
552,Kolkata,21,0,Ishaan
456,Kolkata,17,0,Aadhya
623,Kolkata,11,0,Kabir
777,Kolkata,20,0,Avani
854,Kolkata,17,0,Anaya
148,Kolkata,15,0,Anika
733,Kolkata,20,0,Arjun
921,Kolkata,12,0,Kabir
775,Kolkata,11,0,Advik
596,Kolkata,18,0,Siya
788,Kolkata,13,0,Ishan
662,Kolkata,13,0,Ishaan
992,Kolkata,11,0,Veer
511,Kolkata,20,0,Anaya
692,Kolkata,17,0,Siya
818,Kolkata,12,0,Anaya
54,Kolkata,19,0,Aahana
267,Kolkata,13,0,Anaya
552,Kolkata,12,0,Aryan
816,Kolkata,13,0,Kiara
447,Kolkata,15,0,Anvi
920,Kolkata,17,0,Anya
844,Kolkata,15,0,Atharv
442,Kolkata,21,0,Aarush
256,Kolkata,13,0,Vihaan
64,Kolkata,18,0,Aryan
907,Kolkata,18,0,Aadhya
603,Kolkata,15,0,Saanvi
941,Kolkata,18,0,Atharv
510,Kolkata,13,0,Myra
740,Kolkata,11,0,Ishan
624,Kolkata,15,0,Kabir
913,Kolkata,21,0,Krishna
792,Kolkata,19,0,Atharv
290,Kolkata,19,0,Anika
613,Kolkata,10,0,Daksh
145,Kolkata,20,0,Aadhya
949,Kolkata,17,0,Aahana
783,Kolkata,18,0,Aadya
534,Kolkata,18,0,Krishna
456,Kolkata,20,0,Daksh
280,Kolkata,9,0,Shaurya
798,Kolkata,21,0,Dhruv
704,Kolkata,14,0,Shaurya
220,Kolkata,15,0,Arnav
590,Kolkata,21,0,Kiara
85,Kolkata,16,0,Anika
574,Kolkata,18,0,Advik
209,Kolkata,17,0,Anya
888,Kolkata,10,0,Veer
748,Kolkata,19,0,Siya
292,Kolkata,18,0,Aahana
135,Kolkata,10,0,Advik
845,Kolkata,13,0,Rudra
627,Kolkata,21,0,Aadhya
731,Kolkata,13,0,Sai
606,Kolkata,14,0,Anya
623,Kolkata,11,0,Anvi
695,Kolkata,16,0,Arjun
845,Kolkata,21,0,Aryan
77,Kolkata,9,0,Arjun
669,Kolkata,14,0,Veer
605,Kolkata,12,0,Anya
389,Kolkata,9,0,Sai
847,Kolkata,15,0,Diya
380,Kolkata,17,0,Hridhaan
689,Kolkata,21,0,Anaya
555,Kolkata,12,0,Aadya
397,Kolkata,12,0,Siya
522,Kolkata,14,0,Krishna
280,Kolkata,20,0,Aarush
239,Kolkata,11,0,Anaya
274,Kolkata,21,0,Ananya
434,Kolkata,20,0,Saanvi
426,Kolkata,14,0,Aarav
332,Kolkata,15,0,Veer
682,Kolkata,19,0,Aadhya
677,Kolkata,18,0,Veer
794,Kolkata,18,0,Sai
308,Kolkata,11,0,Aahana
408,Kolkata,15,0,Vihaan
759,Kolkata,11,0,Arnav
505,Kolkata,21,0,Ayaan
460,Kolkata,21,0,Yashvi
698,Kolkata,10,0,Ananya
367,Kolkata,20,0,Siya
726,Kolkata,18,0,Anvi
274,Kolkata,12,0,Riya
868,Kolkata,20,0,Reyansh
283,Kolkata,16,0,Aarav
733,Kolkata,21,0,Arnav
713,Kolkata,17,0,Daksh
876,Kolkata,15,0,Anya
423,Kolkata,9,0,Anya
721,Kolkata,11,0,Siya
657,Kolkata,21,0,Reyansh
521,Kolkata,20,0,Kabir
282,Kolkata,17,0,Anya
741,Kolkata,20,0,Hridhaan
162,Kolkata,9,0,Ishaan
879,Kolkata,17,0,Dhruv
546,Kolkata,16,0,Ishan
491,Kolkata,9,0,Advik
613,Kolkata,14,0,Arnav
317,Kolkata,13,0,Krishna
559,Kolkata,14,0,Avani
856,Kolkata,18,0,Anaya
435,Kolkata,20,0,Aryan
436,Kolkata,21,0,Myra
162,Kolkata,21,0,Myra
662,Kolkata,21,0,Yashvi
674,Kolkata,13,0,Aahana
130,Kolkata,14,0,Anika
748,Kolkata,13,0,Anika
162,Kolkata,19,0,Kiara
51,Kolkata,20,0,Aahana
691,Kolkata,13,0,Rudra
269,Kolkata,12,0,Myra
615,Kolkata,11,0,Ishaan
904,Kolkata,11,0,Myra
785,Kolkata,12,0,Myra
274,Kolkata,17,0,Anya
434,Kolkata,10,0,Arnav
452,Kolkata,17,0,Anika
687,Kolkata,9,0,Siya
179,Kolkata,9,0,Anika
102,Kolkata,13,0,Vivaan
733,Kolkata,14,0,Aryan
779,Kolkata,14,0,Anaya
721,Kolkata,11,0,Saanvi
759,Kolkata,15,0,Aahana
465,Kolkata,17,0,Ananya
296,Kolkata,19,0,Sai
885,Kolkata,20,0,Shaurya
488,Kolkata,18,0,Advik
252,Kolkata,16,0,Krishna
233,Kolkata,14,0,Kabir
172,Kolkata,20,0,Ananya
450,Kolkata,16,0,Ishaan
816,Kolkata,20,0,Kabir
343,Kolkata,13,0,Hridhaan
329,Kolkata,16,0,Vivaan
886,Kolkata,18,0,Myra
933,Kolkata,20,0,Dhruv
659,Kolkata,12,0,Arjun
247,Kolkata,18,0,Aryan
70000,Kolkata,10,1,Aadhya
70000,Kolkata,20,1,Aarush
70000,Kolkata,16,1,Vivaan
70000,Kolkata,15,1,Arnav
70000,Kolkata,18,1,Ishan
70000,Kolkata,18,1,Siya
25000,Kolkata,10,1,Daksh
25000,Kolkata,14,1,Dhruv
70000,Kolkata,14,1,Saanvi
70000,Kolkata,11,1,Daksh
25000,Kolkata,19,1,Myra
70000,Kolkata,10,1,Rudra
25000,Kolkata,20,1,Atharv
25000,Kolkata,9,1,Sai
25000,Kolkata,14,1,Ishan
25000,Kolkata,20,1,Aadya
25000,Kolkata,13,1,Rudra
70000,Kolkata,19,1,Vivaan
25000,Kolkata,17,1,Kiara
70000,Kolkata,9,1,Dhruv
70000,Kolkata,15,1,Anika
25000,Kolkata,13,1,Anvi
25000,Kolkata,13,1,Kiara
70000,Kolkata,10,1,Reyansh
25000,Kolkata,19,1,Anika
25000,Kolkata,11,1,Dhruv
70000,Kolkata,15,1,Kabir
70000,Kolkata,14,1,Anika
25000,Kolkata,20,1,Sai
70000,Kolkata,10,1,Rudra
25000,Kolkata,14,1,Vihaan
25000,Kolkata,10,1,Pari
25000,Kolkata,10,1,Arjun
70000,Kolkata,10,1,Riya
70000,Kolkata,19,1,Veer
70000,Kolkata,11,1,Vivaan
70000,Kolkata,10,1,Dhruv
70000,Kolkata,12,1,Atharv
25000,Kolkata,17,1,Anya
25000,Kolkata,14,1,Aarush
25000,Kolkata,9,1,Vivaan
25000,Kolkata,16,1,Aahana
70000,Kolkata,20,1,Arjun
25000,Kolkata,15,1,Aadya
70000,Kolkata,18,1,Anya
25000,Kolkata,11,1,Veer
70000,Kolkata,9,1,Aarush
70000,Kolkata,13,1,Yashvi
25000,Kolkata,21,1,Pari
25000,Kolkata,12,1,Ayaan
187,Kolkata,5,1,Advik
233,Kolkata,2,1,Veer
450,Kolkata,2,1,Ishaan
379,Kolkata,6,1,Rudra
834,Kolkata,2,1,Aryan
557,Kolkata,6,1,Arjun
901,Kolkata,6,1,Anika
118,Kolkata,5,1,Myra
595,Kolkata,2,1,Vihaan
823,Kolkata,6,1,Aarav
102,Kolkata,3,1,Arnav
499,Kolkata,4,1,Vivaan
254,Kolkata,1,1,Atharv
175,Kolkata,1,1,Arjun
796,Kolkata,5,1,Anvi
92,Kolkata,2,1,Aahana
801,Kolkata,2,1,Vivaan
932,Kolkata,6,1,Pari
160,Kolkata,0,1,Veer
810,Kolkata,6,1,Anaya
712,Kolkata,4,1,Hridhaan
232,Kolkata,3,1,Siya
897,Kolkata,1,1,Vihaan
144,Kolkata,6,1,Krishna
423,Kolkata,0,1,Siya
961,Kolkata,0,1,Anika
569,Kolkata,6,1,Anika
949,Kolkata,5,1,Anvi
409,Kolkata,1,1,Rudra
949,Kolkata,5,1,Anaya
745,Kolkata,3,1,Anika
330,Kolkata,0,1,Hridhaan
244,Kolkata,0,1,Aarush
913,Kolkata,4,1,Myra
244,Kolkata,3,1,Vihaan
716,Kolkata,0,1,Myra
142,Kolkata,3,1,Siya
721,Kolkata,1,1,Advik
995,Kolkata,2,1,Pari
110,Kolkata,0,1,Sai
683,Kolkata,4,1,Anika
100,Kolkata,1,1,Anaya
452,Kolkata,6,1,Saanvi
838,Kolkata,3,1,Anika
54,Kolkata,6,1,Anaya
515,Kolkata,5,1,Arjun
653,Kolkata,1,1,Dhruv
731,Kolkata,6,1,Yashvi
878,Kolkata,0,1,Diya
583,Kolkata,3,1,Vivaan
